Refran	Significado	Uso
Paso a paso se va lejos	Si queremos que las cosas estén bien hechas, hay que realizarlas con calma.	Poco usado
Peor es la recaída (que la caída)	Se aplica a quien sufre un empeoramiento de la enfermedad  o a quien se considera sano y trata de llevar una vida normal, pero todavía no ha recobrado del todo la salud.	Poco usado
Pescador que pesca un pez, pescador es	Se dice a modo de consuelo a quien consigue con diligencia alguna parte de lo que solicita.	Poco usado
Piensa mal, y acertarás	Si uno no quiere equivocarse, debe tener mala opinión de los demás.	Poco usado
Pocos y mal avenidos	No es raro que donde hay cierto número de personas no se encuentre la armonía, haya diferencia de pareceres e incluso disputas.	Poco usado
Por dinero baila el perro	Alude a la fuerza del dinero que influye incluso en quienes no lo aprovecharán. Este refrán toma como referencia el hecho de que el perro amaestrado acostumbra a lucir sus habilidades esperando la recompensa de su amo.	Poco usado
Por el hilo se saca el ovillo	Da a entender que, por la muestra o por el principio de algo, se puede conocer el resto. Se dice también de las cosas o de las personas, cuando se conocen sus defectos o cualidades únicamente por un solo hecho, una prueba.	Poco usado
Por el humo se sabe dónde está el fuego	El efecto puede llevar a descubrir la causa.	Poco usado
Por el interés, te quiero Andrés	Alude al afecto que se siente por alguien, no porque haya un amor verdadero sino porque existe sólo una relación interesada. Al lado del poderoso hay mucha gente.	Poco usado
Por la caridad entra la peste	Hiperbólicamente advierte que ayudar a otros causa a veces grave quebranto y consecuencia.	Poco usado
Por la muestra se conoce el paño	Se emplea en sentido recto y, en sentido figurado, para indicar que se puede conocer cómo son los demás por un detalle en su comportamiento. También se emplea para indicar que por una parte de algo se puede conocer cómo es el todo.	Poco usado
Por mucho trigo, nunca es mal año	De igual modo que la abundancia de trigo resulta muy beneficioso por ser el pan un alimento de primera necesidad, la abundancia de cosas útiles no causa perjuicio alguno.	Poco usado
Quien ama el peligro, en él perece	Critica a los temerarios y a lo que se exponen sin necesidad.	Poco usado
Quien bien te quiere, te hará llorar	El amor o cariño verdadero consiste en corregir los errores de la persona amada, aunque duela hacerlo.	Poco usado
Quien busca, halla	 	Poco usado
Quien come las maduras, coma las duras	Se debe aceptar tanto lo bueno como lo malo de algo que emprendemos. Quien disfrutó de lo bueno de una situación o de la relación con una persona  ha de conocer y padecer lo malo o menos agradable. Se puede aplicar a quien actúa egoístamente. En sentido general, alude a quien va a recibir provecho de algo, no debe excusarse del trabajo o de las molestias que conlleva.	Poco usado
Quien con fuego juega, se quema	Advierte del peligro al que se expone quien busca situaciones muy perjudiciales.	Poco usado
Quien con niños se acuesta mojado amanece	No conviene confiar el manejo de los negocios a personas ineptas o de poco seso, pues seguramente no obtendrá beneficio alguno.	Poco usado
Quien da pan a perro ajeno, pierde pan y pierde perro	Quien obtiene beneficios por interés comúnmente los pierde. Es inútil dedicar atención y consideraciones con fin interesado a quienes conocemos superficial o circunstancialmente y no forman parte de nuestro entorno habitual, pues por lo general no se obtienen beneficios.	Poco usado
Quien da primero da dos veces	Elogia la prontitud de quien da lo que se le pide. Este refrán tiene también otro sentido: señala la ventaja que tiene adelantarse a los demás o anticiparse a los acontecimeintos, ser el primero en algo.	Poco usado
Quien destaja, no baraja	Conviene prevenir todos los posibles obstáculos de un asunto con el objeto de evitar pleitos. En este sentido, se decía: Quien primero destaja, después no baraja. Puede quere decir también que no se pueden hacer dos cosas a un tiempo, y más las que son contrarias o por alguna razón exigen cuidado o estar en lugares distintos.	Poco usado
Quien dice lo que quiere, oye lo que no quiere	Recrimina a quien habla sin reflexionar y recomienda mesura en el hablar para evitar respuestas inesperadas o injuriosas. Este refrán también sirve de advertencia al maldiciente, pues le anuncia que seguramente saldrá malparado si no mide sus palabras.	Poco usado
Quien duerme, come	Recuerda la necesidad de tener las suficientes horas de sueño.	Poco usado
Quien entra Papa, sale cardenal	Alude al inesperado nombramiento de alguien que no era considerado por la mayoría como posible candidato. También se aplica cuando alguien experimenta una notable mejora en su situación.	Poco usado
Quien esté libre de culpa, que tire la primera piedra	Recuerda que todos tenemos algo que ocultar o callar, por lo que no debemos criticar a los demás por algo que quizá hemos hecho nosotros también.	Poco usado
Quien feo ama, hermoso le parece	El deseo o el afecto que se puede sentir por alguien puede hacer que nos parezca hermoso su físico cuando en realidad no lo es.	Poco usado
Quien fue cocinero antes que fraile, lo que pasa en la cocina bien sabe	La experiencia ayuda a hacer las cosas con acierto y a prever lo que suele ocurrir. Resulta difícil engañar a quien ha vivido bastante.	Poco usado
Quien guarda halla	Aconseja la economía para poder salir de apuros en cualquier momento..	Poco usado
Quien hace lo que puede, no está obligado a más	No se puede exigir a alguien que haga cosas irrealizables.	Poco usado
Quien ha jugado, jugará	Quien ha realizado una actividad será capaz de repetirla muchas veces. Por lo general, se aplica en un sentido negativo.	Poco usado
¿Quién le pone el cascabel al gato?	Alude a la dificultad o imposibilidad de realizar algo por ser peligroso. Expresa la falta de voluntarios para tomar una determinación provechosa para todos, porque su puesta en práctica resulta muy arriesgada.	Poco usado
Quien más tiene, más quiere	Alude a la insaciabilidad de la codicia, la cual aumenta con la posesión de riquezas.	Poco usado
Quien no ha visto Sevilla, no ha visto maravilla	Elogia las excelencias de esta ciudad andaluza. Se emplea en sentido recto.	Poco usado
Quien no se arriesga, no pasa la mar	Es necesario arriesgar algo para conseguir lo que se desea, en particular algo difícil de alcanzar.	Poco usado
Quien no siembra no recoge	Advierte que no se puede conseguir beneficio alguno si no se ponen los medios necesarios para ello.	Poco usado
Quien no te conoce que te compre	Da a entender que, a primera vista, no son evidentes los defectos de la personas o de las cosas. En un sentido más amplio, se refiere a que se ha conocido la malicia o el engaño de alguien.	Poco usado
Quien no tenga cabeza, que tenga pies	Recuerda a la persona olvidadiza lo que debe hacer para subsanar su falta de memoria. En sentido más amplio, se aconseja tratar de subsanar los defectos que uno tiene.	Poco usado
Quien nudo no dio, puntada perdió	Suele ocurrir que las cosas se retrasan si se quiere hacerlas atropelladamente o abreviando demasiado.	Poco usado
Quien paga manda	Detenta el poder quien dispone de los medios económicos necesarios.	Poco usado
Quien quita la ocasión, quita el pecado	Recomienda huir de las oportunidades que pueden llevar a cometer malas acciones o que pueden evitar daños.	Poco usado
Quien se excusa se acusa	Se dice cuando alguien reconoce de forma indirecta, mediante disculpas, que no ha actuado correctamente.	Poco usado
Quien teme el peligro, no vaya a la mar	Se refiere a los peligros del mar y, en un sentido general, recomienda no exponerse a situaciones peligrosas o que nos causen miedo.	Poco usado
Quien te regala, te compra	Alude a la dependencia que se establece entre la persona que ha recibido obsequios o ayuda de alguien más poderoso, por lo que recomienda procurar mantenerse libre de ese tipo de ataduras.	Poco usado
Quien tiene arte, va por toda parte	Se muestra lo útil que es saber algún oficio para comer.	Poco usado
Quien tiene un amigo tiene un tesoro	Ensalza el valor de la amistad auténtica.	Poco usado
Refrán viejo nunca miente	Encarece la sabiduría del refranero, fundado en  la experiencia de siglos.	Poco usado
Saca lo tuyo al mercado, uno dirá bueno, y otro dirá malo	Afirma que resulta normal la existencia de opinones muy distintas.	Poco usado
Salir de Guatemala y entrar en Guatepeor	Se aplica a quien, procurando huir de un peligro, se mete más en él o en otro peor.	Poco usado
Si la envidia fuera tiña, ¡cuántos tiñosos habría!	Reconoce la existencia de la envidia como un defecto muy presente pero oculto en el ser humano.	Poco usado
Si la montaña no va a Mahoma, Mahoma va a la montaña	Recomienda no esperar a alguien con quien deseamos encontrarnos. En sentido general, encarece a tomar la iniciativa en los asuntos que nos interesen.	Poco usado
Si no puedes con tu enemigo, únete a él	Aconseja no enfrentarse a enemigos superiores a uno mismo, sino ver la forma de adherirse a él.	Poco usado
Si no quieres una taza, taza y media	Resulta conveniente contentarse con aceptar las cosas como vienen, porque, de lo contrario, se corre el riesgo de recibir lo que no se desea, pero en una cantidad mayor o duplicada.	Poco usado
Si quieres la col, quieres las hojas de alrededor	Resulta lógico que el afecto que se siente por alguien se extienda a las personas que le rodean, en especial su familia, con sus defectos y virtudes, con sus ventajas e inconvenientes.	Poco usado
Toda nube negra tiene su orilla de plata	 	Poco usado
Todo llega a su tiempo	Recomienda tener paciencia y saber esperar a que llegue lo que desea alcanzar.	Poco usado
Una buena capa, todo lo tapa	Se puede encubrir muchas faltas con una buena apariencia.	Poco usado
Unos nacen con estrella y otros estrellados	Denota la distinta suerte que tienen las personas.	Poco usado
Unos por otros, la casa sin barrer	Alude a la situación en la que  ninguno asume el trabajo y achaca su incumplimiento a otro, de modo que algo queda sin hacer porque uno pensó que lo hacía otro o que no era cosa suya.	Poco usado
Unos tanto y otros tan poco	Alude a la desigualdad en los bienes. Suele decirlo quien está falto de bienes a modo de queja, cuando compara su situación con la de otros mucho más desahogada. Se dice en ocasiones con cierta envidia, como un lamento por una situación que se juzga injusta.	Poco usado
Unos tienen la fama, y otros cardan la lana	En ocasiones, se llevan los beneficios quienes no han trabajado para conseguirlos. También se refiere a que a algunos se les achaca algo negativo cuando en realidad otros hacen igual o más. En este caso, no  se trata de que no se hace justicia a efectos de recompensa económica, sino más bien de moral. Se dice con cierta ironía.	Poco usado
Uvas con queso saben a beso	Recomienda comer juntos estos alimentos.	Poco usado
Viva la gallina y viva con su pepita	Recomienda conservar la vida, aunque sea viviendo con las molestias de una enfermedad o las de un trabajo.	Poco usado
